localityname_value,buyrates_value_1,buyrates_value_2,buyratesqqa_value,buyratesqqa_image,buyratesqqa_image/_alt,buyrates_value_3,rentalrates_value_1,rentalrates_value_2,rentalrates_value_3,rentalrates_value_4,rentalrates_value_5,rentalrates_value_6
Karve Nagar,,-,-,,,Not Available,Rs.,"7,948 - 9,350",Rs.,"13,056 - 15,504",Rs.,"17,816 - 22,270"
Karve Road,,-,-,,,Not Available,Rs.,"9,860 - 10,846",,-,,-
Kasarwadi,Rs.,"4,888 - 5,398/sq. ft.",-1.67%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
Kaspate Vasti,Rs.,"5,482 - 6,120/sq. ft.",4.58%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,639 - 10,174",Rs.,"13,090 - 14,960",Rs.,"16,354 - 18,870"
Kate Wasti,Rs.,"4,335 - 4,930/sq. ft.",-,,,Not Available,,-,Rs.,"7,370 - 9,580",,-
Katraj,Rs.,"4,675 - 5,652/sq. ft.",5.26%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,630 - 7,650",Rs.,"9,894 - 12,368",,-
Katraj Kondhwa Road,Rs.,"4,462 - 5,142/sq. ft.",4.59%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,028 - 7,535",Rs.,"8,340 - 10,615",,-
Kedari Nagar,Rs.,"5,822 - 6,970/sq. ft.",-,,,Not Available,,-,Rs.,"16,618 - 16,618",Rs.,"23,828 - 28,033"
Keshav Nagar,Rs.,"4,548 - 5,100/sq. ft.",-5.83%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,973 - 8,468",Rs.,"10,710 - 12,240",Rs.,"15,481 - 16,672"
Kesnand,Rs.,"3,570 - 4,420/sq. ft.",-,,,Not Available,,-,,-,,-
Khadki,,-,-,,,Not Available,,-,Rs.,"12,798 - 14,397",,-
Kharadi,Rs.,"4,930 - 5,695/sq. ft.",-4.51%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"8,583 - 10,603",Rs.,"14,620 - 16,448",Rs.,"20,182 - 21,624"
Kirkatwadi,Rs.,"3,868 - 4,462/sq. ft.",-6.67%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"3,808 - 4,284",,-,,-
Kirtane Baugh,Rs.,"8,500 - 9,775/sq. ft.",-,,,Not Available,,-,,-,,-
Kiwale,Rs.,"3,910 - 4,420/sq. ft.",-2%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"7,863 - 8,578",,-
Kondhwa,Rs.,"4,632 - 5,440/sq. ft.",3.51%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,902 - 8,874",Rs.,"10,873 - 12,546",Rs.,"16,014 - 18,683"
