name,type,latitude,longitude,importance,source
Department of Law,College,18.5469747,73.8289406,3,OSM
University Press,College,18.5477342,73.8283583,3,OSM
SYMBOSIS INTERNATIONAL SCHOOL,College,18.565958,73.9075523,3,OSM
NOWROSJEE WADIA COLLEGE,College,18.5327671,73.879795,3,OSM
Poona College of Pharmacy,College,18.5129851,73.8204854,3,OSM
Symbiosis Law School,College,18.5755009,73.9079991,3,OSM
Unknown College,College,18.5023768,73.7700102,3,OSM
Symbiosis School for Liberal Arts,College,18.5756121,73.9079897,3,OSM
Symbiosis Summer School,College,18.5754006,73.9087895,3,OSM
Gokhale Institute of Politics & Economics,College,18.5208688,73.8327706,3,OSM
Allard College of Pharmacy.,College,18.6085799,73.7199551,3,OSM
Allard College of Engineering and Management.,College,18.609518,73.7195665,3,OSM
Shri Bhairavnath Junior College,College,18.6311902,73.8480258,3,OSM
I2IT Academic Building,College,18.584728,73.7375623,3,OSM
Department of Computer Science,College,18.5528472,73.8221594,3,OSM
Department of Media & Communication Studies,College,18.5539915,73.8225086,3,OSM
International Students Cells,College,18.5556206,73.8237104,3,OSM
Department of Chemistry,College,18.5520754,73.8241664,3,OSM
Botany Department,College,18.5487768,73.8243987,3,OSM
Zoology Department,College,18.5493682,73.8237828,3,OSM
C-DAC,College,18.5517394,73.8238008,3,OSM
Department of Physics,College,18.5512829,73.8236788,3,OSM
Department of Commerce,College,18.5480718,73.8277203,3,OSM
Department of Geology,College,18.5483994,73.8275902,3,OSM
Department of Mathematics,College,18.5490289,73.8274108,3,OSM
"Department of Scientific computing, modeling and simulations",College,18.5485908,73.8292683,3,OSM
IT cell,College,18.5484079,73.8289722,3,OSM
Department of Geography,College,18.5480567,73.8273208,3,OSM
"English, hindi, marathi Department",College,18.5504583,73.8269321,3,OSM
Microbiology Department,College,18.5462183,73.8297842,3,OSM
Pune University MBA(PUMBA),College,18.547166,73.8299225,3,OSM
Department of Technology,College,18.5569168,73.8277317,3,OSM
Guest house,College,18.5567516,73.828336,3,OSM
Department of physical education,College,18.557149,73.8273561,3,OSM
Department of education,College,18.5573503,73.8274106,3,OSM
department of psychology,College,18.5566673,73.8273989,3,OSM
"School of Open Learning, SPPU",College,18.5569548,73.8263103,3,OSM
Department of Sports,College,18.5585252,73.8256101,3,OSM
Inter University Centre for Astronomy and Astrophysics,College,18.5594399,73.8256101,3,OSM
Department of Electronic sciences,College,18.5516812,73.8226376,3,OSM
Interdisciplinary School of science,College,18.5568199,73.8263028,3,OSM
"Dr. D Y Patil College Of Pharmacy, Akurdi",College,18.6449504,73.7601638,3,OSM
"DY Patil College of Engineering,Akurdi",College,18.6450117,73.7582226,3,OSM
Dr. D. Y. Patil ACS Junior College,College,18.64457,73.7587337,3,OSM
"D.Y Patil Polytechnic, Akurdi, Pune",College,18.6443535,73.7592859,3,OSM
D. Y. Patil International University,College,18.6458827,73.7601197,3,OSM
D. Y. PATIL INSTITUTE OF MASTER OF COMPUTER APPLICATIONS,College,18.6467457,73.7603698,3,OSM
Dr D Y Patil College of Agricultural Business Management,College,18.6477042,73.7604499,3,OSM
Dr. D. Y. Patil College of Architecture,College,18.6473127,73.7603601,3,OSM
DYPCOE WORKSHOP,College,18.6443185,73.7600302,3,OSM
"Sarhad College of Arts, Commerce and Science",College,18.4549968,73.85409,3,OSM
"S.B.B alias Appasaheb Jedhe Arts, Commerce & Science College",College,18.5069092,73.8571889,3,OSM
Ekalavya Shikshan Sanstha,College,18.5025631,73.7954838,3,OSM
SIMC,College,18.5367557,73.7316055,3,OSM
SIBM,College,18.5377294,73.7318071,3,OSM
Government Urdu Teachers College (For Women),College,18.5081643,73.8743408,3,OSM
"Biotechnology Department, Fergusson College",College,18.5264219,73.8402377,3,OSM
