place_id,name,types,main_category
ChIJ8b0GDMLAwjsRFVroHSDSSig,Pardeshi General Store,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJfV1dFOPAwjsR4Yr4Gh8qczg,Anil Footwear,"shoe_store, store, point_of_interest, establishment",retail_general
ChIJnYCnY9DBwjsRbEa4Ig_xYH0,Aradhana General Stores,"store, point_of_interest, food, establishment",retail_general
ChIJT6v7qwjBwjsRgKxV1B47D-Y,HARE KRISHNA SALES,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJZ4alFnXBwjsRSQg1_JZblBc,Madanji Mithai & Namkeen,"store, point_of_interest, food, establishment",retail_general
ChIJw1amzybBwjsR6TBWgpFwBEM,Jain Bandhu,"clothing_store, point_of_interest, store, establishment",retail_general
ChIJVYS5iOHAwjsRvsNR4a3Os3A,NEW CHORDIA GIFTS AND STATIONARY,"point_of_interest, store, establishment",retail_general
ChIJXd24ZSHBwjsRhFlMbRAXNbE,Nilkamal Homes- Premium Furniture and Homeware store,"home_goods_store, furniture_store, point_of_interest, store, establishment",retail_general
ChIJ-a0jyIPBwjsRDjyUn5yUBSw,Cake Heart's Yerwada,"bakery, food, point_of_interest, store, establishment",food
ChIJRZg4gxjBwjsRJPdK3OUSI24,ANURADHA COLLECTION,"clothing_store, point_of_interest, store, establishment",retail_general
ChIJtUTTyRnBwjsR18a3zlQdxGM,Mithas Sweets - Nagar Road,"food, point_of_interest, store, establishment",retail_general
ChIJXczB7bjBwjsR47oOEaxrvq8,MAHIRA SUPER CARE STORE,"store, point_of_interest, establishment",retail_general
ChIJO_OgsOPAwjsRwoJLLvKT_sk,Deepa Dresses,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJx1r9Xh_BwjsRyDcU_BpzPW0,"King Koil Exclusive Mattress Store Yerwada, Pune","furniture_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJWfK7kOPAwjsRaBAqj3ZMp5c,Yerawada Parnakuty Payatha Pune,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment",retail_general
ChIJ-3TEVB_BwjsRB-4zqjvwbQA,Tangent - The Furniture Mall,"furniture_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJEVkM1JfBwjsRPFtFO0GtUE0,"Pepperfry Yerwada - Multi Brand Furniture, Mattress & Home Furnishings Shop","furniture_store, home_goods_store, store, point_of_interest, establishment",retail_general
ChIJ3yFYGO_AwjsRHShBEmWM90U,Poonam Farm & Food Products,"food, store, point_of_interest, establishment",retail_general
ChIJzUDfZNbBwjsRF12-au8YT98,Lucky stationery & varities,"store, point_of_interest, establishment",retail_general
ChIJP2f1uuPAwjsRm7ufFFx9iZk,Om Collection,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJ1ZN6RyjHwjsRWRUO9h051Mk,Komal Ladies Shopee,"jewelry_store, store, point_of_interest, establishment",retail_general
ChIJGX05auPAwjsRNtmaFFyU0Cc,Nakoda Fashion,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJIT79zn_IwjsRD9eCFvDVLTU,Bali and Sons,"store, point_of_interest, establishment",retail_general
ChIJe-qSed67wjsRR1WDMVjnvsM,WS Bakers Cake Shop Yerwada,"bakery, food, store, point_of_interest, establishment",food
ChIJjeySMO_AwjsReNG4t6-Kjv8,New Poona Pork Traders,"food, store, point_of_interest, establishment",retail_general
ChIJm_BLymbBwjsR99az6gM2XlA,Royal Embroidery,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJG_-wM-fAwjsRQb1RmhnJao8,G K Enterprises,"hardware_store, store, point_of_interest, establishment",retail_general
ChIJrwWs7iXBwjsRgjzZN00PXG8,Shagun Collection,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJXbA8SCHBwjsR-5MNVf0CbxY,Sham General Store,"food, store, point_of_interest, establishment",retail_general
ChIJqYOeJHjBwjsRSqR5ZyaXDXo,PUNERI CAKE SHOP,"bakery, food, store, point_of_interest, establishment",food
ChIJyxWs2aDBwjsRONrQENeKulc,Shivaji Kokane Store,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJMSpRjRLBwjsRvJSLuZXdKUY,KUMBHAR ARTS,"store, point_of_interest, establishment",retail_general
ChIJt76ERADBwjsRhaoD73uUprA,Kumbhar Shop,"store, point_of_interest, establishment",retail_general
ChIJAQAAAN_AwjsRvDrweMVNjw8,Dhanraj Cloth Centre,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJk-76k-LAwjsRd4v0WJeYl9s,Nyati Unitree,"general_contractor, point_of_interest, establishment",other
ChIJW5aMaynBwjsR9TDUQDKY_5w,Sample,"point_of_interest, store, establishment",retail_general
