locality,zone,tier,latitude,longitude,avg_rent_per_sqft,median_rent_per_sqft,commercial_rent_per_sqft,avg_rent,median_rent,min_rent,max_rent,avg_area_sqft,median_area_sqft,sample_size,confidence,avg_bedrooms,avg_bathrooms,data_source,last_updated
Bhusari colony kothrud,Central Pune,Grade A,18.5074,73.8077,32.78,32.78,37.69,14750.0,14750.0,14750.0,14750.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Deccan Gymkhana,Central Pune,Grade A,18.5167,73.8422,30.0,30.0,34.5,9000.0,9000.0,9000.0,9000.0,300.0,300.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Deccan Hills,Central Pune,Grade C,18.5167,73.8422,7.37,7.37,8.47,7000.0,7000.0,7000.0,7000.0,950.0,950.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Erandwane,Central Pune,Grade A,18.5204,73.8567,28.23,28.64,32.47,23500.0,27500.0,9000.0,30000.0,850.0,1000.0,4,Low,1.8,1.8,Real Property Listings,2026-02-07
Karve Nagar,Central Pune,Grade B,18.4881,73.8226,24.21,25.0,27.84,15415.43,15000.0,8000.0,25000.0,647.64,600.0,14,High,1.4,1.5,Real Property Listings,2026-02-07
Karve Road,Central Pune,Grade B,18.5204,73.8567,23.33,23.33,26.83,30000.0,30000.0,20000.0,40000.0,1350.0,1350.0,2,Low,2.5,2.5,Real Property Listings,2026-02-07
Karvenagar,Central Pune,Grade A,18.5204,73.8567,26.0,26.0,29.9,13000.0,13000.0,13000.0,13000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Koregaon Mul,Central Pune,Grade C,18.5204,73.8567,8.58,8.58,9.87,3500.0,3500.0,3500.0,3500.0,408.0,408.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Koregaon Park,Central Pune,Grade A,18.5362,73.8958,37.9,37.5,43.59,33440.53,26000.0,9500.0,85000.0,1111.03,1000.0,33,High,2.1,2.0,Real Property Listings,2026-02-07
Koregaon Park Annexe,Central Pune,Grade A,18.5362,73.8958,34.67,30.82,39.87,24333.33,26000.0,16000.0,31000.0,773.67,970.0,3,Low,1.7,1.7,Real Property Listings,2026-02-07
Koregaon park,Central Pune,Premium,18.5362,73.8958,47.06,47.06,54.12,40000.0,40000.0,40000.0,40000.0,850.0,850.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Kothrud,Central Pune,Grade A,18.5074,73.8077,27.34,26.84,31.44,18333.19,16000.0,7000.0,50000.0,670.47,600.0,47,High,1.5,1.5,Real Property Listings,2026-02-07
Kothrud depo,Central Pune,Grade A,18.5074,73.8077,25.0,25.0,28.75,12500.0,12500.0,12500.0,12500.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Kothrud pune,Central Pune,Grade A,18.5074,73.8077,25.0,25.0,28.75,15000.0,15000.0,15000.0,15000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Mantri Angan Koregaon park,Central Pune,Grade A,18.5362,73.8958,25.0,25.0,28.75,20000.0,20000.0,20000.0,20000.0,800.0,800.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Marvel Matrix Koregaon park,Central Pune,Premium,18.5362,73.8958,43.75,43.75,50.31,35000.0,35000.0,35000.0,35000.0,800.0,800.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Right Bhusari Kothrud,Central Pune,Grade B,18.5074,73.8077,21.0,21.0,24.15,21000.0,21000.0,21000.0,21000.0,1000.0,1000.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
Sadashiv Peth,Central Pune,Grade A,18.5109,73.8516,30.6,29.09,35.2,19000.0,20000.0,12000.0,25000.0,682.0,620.0,5,Medium,1.4,1.2,Real Property Listings,2026-02-07
Shivajinagar,Central Pune,Grade B,18.5304,73.8468,22.22,22.22,25.56,15000.0,15000.0,15000.0,15000.0,675.0,675.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
karvenagar,Central Pune,Grade B,18.5204,73.8567,15.38,15.38,17.69,9000.0,9000.0,9000.0,9000.0,585.0,585.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
kothrud,Central Pune,Grade A,18.5074,73.8077,36.48,36.48,41.95,35000.0,35000.0,25000.0,45000.0,952.5,952.5,2,Low,2.5,2.0,Real Property Listings,2026-02-07
left bhusari colony Kothrud,Central Pune,Grade B,18.5074,73.8077,24.62,24.62,28.31,16000.0,16000.0,16000.0,16000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Amanora Park Town Hadapsar,East Pune,Grade B,18.5089,73.926,23.53,23.53,27.06,20000.0,20000.0,20000.0,20000.0,850.0,850.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
Amanora Park Town Hadapsar Pune,East Pune,Grade B,18.5089,73.926,18.05,18.05,20.75,24000.0,24000.0,24000.0,24000.0,1330.0,1330.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
HADAPSAR,East Pune,Grade B,18.5089,73.926,19.57,19.57,22.5,27000.0,27000.0,27000.0,27000.0,1380.0,1380.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Hadapsar,East Pune,Grade B,18.5089,73.926,20.54,19.39,23.62,18020.95,16000.0,7500.0,50000.0,926.2,764.0,91,High,1.9,1.9,Real Property Listings,2026-02-07
Hadapsar Gaon,East Pune,Grade B,18.5089,73.926,18.46,19.01,21.23,12300.0,11000.0,9500.0,16500.0,675.8,570.0,5,Medium,1.4,1.4,Real Property Listings,2026-02-07
Kalyani Nagar,East Pune,Grade A,18.5465,73.9062,30.41,28.89,34.97,30891.16,27000.0,13000.0,57000.0,1116.9,980.0,41,High,2.2,2.2,Real Property Listings,2026-02-07
Kalyani Nagar Annexe,East Pune,Premium,18.5465,73.9062,40.62,40.62,46.72,40000.0,40000.0,25000.0,55000.0,950.0,950.0,2,Low,2.5,2.5,Real Property Listings,2026-02-07
Kharadi,East Pune,Grade B,18.5515,73.9474,24.47,24.44,28.14,25851.99,25000.0,4000.0,65000.0,1074.54,986.0,85,High,2.1,2.1,Real Property Listings,2026-02-07
Kharadi Annex,East Pune,Grade B,18.5515,73.9474,22.39,22.39,25.75,15000.0,15000.0,15000.0,15000.0,670.0,670.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Kharadi.,East Pune,Grade B,18.5515,73.9474,24.49,24.49,28.16,12000.0,12000.0,12000.0,12000.0,490.0,490.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Lohegaon,East Pune,Grade B,18.5982,73.9282,15.56,15.28,17.89,10942.11,10500.0,4500.0,25000.0,709.0,658.5,38,High,1.5,1.5,Real Property Listings,2026-02-07
Lohegaon Puri,East Pune,Grade B,18.5982,73.9282,15.0,15.0,17.25,7500.0,7500.0,7500.0,7500.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Lohegaon-Wagholi Road,East Pune,Grade C,18.5982,73.9282,11.78,11.78,13.55,10000.0,10000.0,10000.0,10000.0,849.0,849.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Lohegaon-dhanori road,East Pune,Grade C,18.5982,73.9282,13.08,13.08,15.04,8500.0,8500.0,8500.0,8500.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Magarpatta,East Pune,Grade A,18.5156,73.9295,27.9,25.0,32.09,21641.0,20000.0,10000.0,54000.0,850.25,800.0,39,High,1.9,1.9,Real Property Listings,2026-02-07
Magarpatta City,East Pune,Grade A,18.5156,73.9295,26.17,26.17,30.09,15700.0,15700.0,15700.0,15700.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Mundhwa,East Pune,Grade B,18.5362,73.9318,20.77,20.0,23.88,20800.0,12000.0,10000.0,40000.0,1080.0,650.0,5,Medium,1.8,1.8,Real Property Listings,2026-02-07
North Hadapsar,East Pune,Grade A,18.5089,73.926,32.32,34.5,37.17,18750.0,17000.0,14000.0,27000.0,637.5,475.0,4,Low,1.5,1.2,Real Property Listings,2026-02-07
On Nagar Road Opposite Viman Nagar,East Pune,Grade B,18.5679,73.9143,17.86,17.86,20.54,25000.0,25000.0,25000.0,25000.0,1400.0,1400.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
S No 16/2/4/ Lohegaon Road,East Pune,Grade B,18.5982,73.9282,17.14,17.14,19.71,18000.0,18000.0,18000.0,18000.0,1050.0,1050.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
ST Nagar-Lohegaon,East Pune,Grade C,18.5982,73.9282,14.55,14.55,16.73,8000.0,8000.0,8000.0,8000.0,550.0,550.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Sharamik vasahat yerawada,East Pune,Grade B,18.5551,73.8817,22.22,22.22,25.56,10000.0,10000.0,10000.0,10000.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Viman Nagar,East Pune,Grade A,18.5679,73.9143,28.0,28.12,32.2,22041.67,20500.0,14000.0,36000.0,831.25,832.5,36,High,1.6,1.6,Real Property Listings,2026-02-07
hadapsar,East Pune,Grade B,18.5089,73.926,17.07,17.07,19.63,9450.0,9450.0,9000.0,9900.0,555.0,555.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
kalyani nagar,East Pune,Premium,18.5465,73.9062,45.07,45.07,51.83,32000.0,32000.0,32000.0,32000.0,710.0,710.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
kalyani nagar extention,East Pune,Grade A,18.5465,73.9062,38.24,38.24,43.97,65000.0,65000.0,65000.0,65000.0,1700.0,1700.0,1,Low,4.0,4.0,Real Property Listings,2026-02-07
kharadi,East Pune,Grade B,18.5515,73.9474,16.67,16.67,19.17,10500.0,10500.0,10500.0,10500.0,630.0,630.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Akurdi,PCMC,Grade B,18.6476,73.7654,21.26,18.05,24.45,14950.0,16000.0,7500.0,20000.0,735.2,705.0,10,High,1.8,1.7,Real Property Listings,2026-02-07
Akurdi Railway Stations,PCMC,Grade B,18.6476,73.7654,20.0,20.0,23.0,11000.0,11000.0,11000.0,11000.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Chinchwad,PCMC,Grade B,18.6479,73.7972,21.53,20.88,24.76,16081.82,13250.0,8500.0,32000.0,747.05,650.0,22,High,1.5,1.5,Real Property Listings,2026-02-07
Chinchwad Gaon,PCMC,Grade B,18.6479,73.7972,18.74,19.35,21.55,11625.0,11000.0,9500.0,15000.0,646.25,642.5,4,Low,1.5,1.5,Real Property Listings,2026-02-07
Nigdi,PCMC,Grade B,18.6543,73.7702,18.49,18.33,21.27,14400.0,16000.0,11000.0,16000.0,790.0,750.0,5,Medium,1.8,1.8,Real Property Listings,2026-02-07
PIMPLE GARAV,PCMC,Grade B,18.5204,73.8567,17.27,17.27,19.86,9500.0,9500.0,9500.0,9500.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Pimple Gurav,PCMC,Grade B,18.5204,73.8567,19.06,18.18,21.92,13538.0,12000.0,3500.0,25000.0,703.28,650.0,25,High,1.4,1.6,Real Property Listings,2026-02-07
Pimple Nilakh,PCMC,Grade A,18.5204,73.8567,30.12,25.71,34.63,33185.6,22000.0,7500.0,77000.0,1365.46,1002.0,23,High,2.7,2.6,Real Property Listings,2026-02-07
Pimple Saudagar,PCMC,Grade B,18.5966,73.8023,22.15,21.21,25.48,19737.07,19000.0,12000.0,30000.0,922.74,900.0,58,High,2.0,2.1,Real Property Listings,2026-02-07
Pimpri,PCMC,Grade B,18.6298,73.8009,23.13,21.0,26.6,16357.14,16000.0,10000.0,25000.0,718.71,650.0,7,Medium,1.7,1.7,Real Property Listings,2026-02-07
Pimpri Chinchwad,PCMC,Grade B,18.6298,73.8009,22.51,20.66,25.88,16571.43,14500.0,10500.0,28000.0,734.14,684.0,14,High,1.6,1.6,Real Property Listings,2026-02-07
Ravet,PCMC,Grade B,18.6542,73.7372,20.24,19.72,23.28,13833.33,14000.0,7000.0,18000.0,707.73,667.5,48,High,1.7,1.8,Real Property Listings,2026-02-07
SECTOR 32A RAVET PRADHIKARAN,PCMC,Grade B,18.6542,73.7372,19.35,19.35,22.26,12000.0,12000.0,12000.0,12000.0,620.0,620.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Sainathnagar Nigdi,PCMC,Grade B,18.6543,73.7702,17.27,17.27,19.86,9500.0,9500.0,9500.0,9500.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Sector-29 Ravet,PCMC,Grade B,18.6542,73.7372,18.09,18.67,20.8,15333.33,14000.0,14000.0,18000.0,847.0,840.0,3,Low,2.0,2.0,Real Property Listings,2026-02-07
Thergaon,PCMC,Grade B,18.61,73.79,21.12,20.0,24.28,15214.29,15500.0,12000.0,20000.0,742.43,771.5,14,High,1.6,1.6,Real Property Listings,2026-02-07
Vallabhnagar Pimpri Pune,PCMC,Grade B,18.6298,73.8009,21.67,21.67,24.92,13000.0,13000.0,13000.0,13000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
pimple Saudagar,PCMC,Grade B,18.5966,73.8023,22.86,22.86,26.29,20000.0,20000.0,20000.0,20000.0,875.0,875.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
pimpri,PCMC,Grade C,18.6298,73.8009,14.0,14.0,16.1,14000.0,14000.0,14000.0,14000.0,1000.0,1000.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
ravet kiwle,PCMC,Grade C,18.6542,73.7372,14.62,14.62,16.81,9500.0,9500.0,9500.0,9500.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
,Pune,Grade B,18.5304,73.8468,19.51,17.5,22.43,13058.78,10000.0,4000.0,75000.0,687.67,599.0,131,High,1.4,1.3,Real Property Listings,2026-02-07
25 Sector,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,15000.0,15000.0,15000.0,15000.0,750.0,750.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
60 Feet Road,Pune,Grade B,18.5204,73.8567,16.67,16.67,19.17,14000.0,14000.0,14000.0,14000.0,840.0,840.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
A WING,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,10000.0,10000.0,10000.0,10000.0,750.0,750.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
ABHIRUCHI MALL,Pune,Grade B,18.5204,73.8567,17.0,17.0,19.55,8500.0,8500.0,8500.0,8500.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Abasaheb Raikar Nagar,Pune,Grade B,18.5204,73.8567,16.99,16.99,19.54,13000.0,13000.0,13000.0,13000.0,765.0,765.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Adarsh Colony,Pune,Grade B,18.5204,73.8567,24.29,24.29,27.93,17000.0,17000.0,17000.0,17000.0,700.0,700.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Adarsh Nagar,Pune,Grade A,18.5204,73.8567,26.02,26.02,29.92,16000.0,16000.0,16000.0,16000.0,615.0,615.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Aditya Greens,Pune,Grade B,18.5204,73.8567,19.14,19.14,22.01,6000.0,6000.0,5000.0,7000.0,314.5,314.5,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Airport Road,Pune,Grade B,18.5204,73.8567,21.67,21.67,24.92,6500.0,6500.0,6500.0,6500.0,300.0,300.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Alandi,Pune,Grade B,18.5204,73.8567,15.31,16.03,17.61,7125.0,7250.0,4000.0,10000.0,492.0,525.0,4,Low,1.2,1.2,Real Property Listings,2026-02-07
Amanora Town Ship,Pune,Grade B,18.5204,73.8567,22.11,22.11,25.42,21000.0,21000.0,21000.0,21000.0,950.0,950.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
Amanora town ship,Pune,Grade B,18.5204,73.8567,22.56,22.56,25.94,23000.0,23000.0,23000.0,23000.0,1025.0,1025.0,2,Low,2.0,2.0,Real Property Listings,2026-02-07
Ambedkar Nagar,Pune,Grade B,18.5204,73.8567,18.33,18.33,21.08,11000.0,11000.0,11000.0,11000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Ambegaon,Pune,Grade B,18.5204,73.8567,17.16,16.0,19.73,13312.5,13500.0,6500.0,20000.0,816.25,750.0,8,Medium,1.8,1.8,Real Property Listings,2026-02-07
Ambegaon Bk,Pune,Grade B,18.5204,73.8567,15.95,15.49,18.34,10740.0,10500.0,5000.0,18000.0,685.1,633.5,10,High,1.6,1.4,Real Property Listings,2026-02-07
Ambegaon Budruk,Pune,Grade B,18.5204,73.8567,15.95,13.62,18.34,10125.0,10250.0,4500.0,15000.0,703.12,756.0,8,Medium,1.8,1.5,Real Property Listings,2026-02-07
Ambegaon Kh,Pune,Grade C,18.5204,73.8567,10.26,10.26,11.79,6000.0,6000.0,6000.0,6000.0,585.0,585.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Ambegaon Pathar,Pune,Grade C,18.5204,73.8567,12.55,14.67,14.43,7666.67,7500.0,4500.0,11000.0,602.33,550.0,3,Low,1.0,1.0,Real Property Listings,2026-02-07
Ambegaon budruk,Pune,Grade B,18.5204,73.8567,22.0,22.0,25.3,5500.0,5500.0,5500.0,5500.0,250.0,250.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Anand Nagar,Pune,Grade B,18.5204,73.8567,18.76,16.97,21.58,11700.0,10250.0,8000.0,19000.0,658.0,665.0,10,High,1.5,1.3,Real Property Listings,2026-02-07
Arrena29,Pune,Grade A,18.5204,73.8567,28.57,28.57,32.86,20000.0,20000.0,20000.0,20000.0,700.0,700.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Arvind Colony,Pune,Grade A,18.5204,73.8567,29.85,29.85,34.33,20000.0,20000.0,20000.0,20000.0,670.0,670.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Ashoka Nagar,Pune,Grade B,18.5204,73.8567,24.59,25.58,28.27,23416.67,22500.0,22000.0,28000.0,976.67,860.0,6,Medium,2.2,2.2,Real Property Listings,2026-02-07
Ashoknagar Rangehills,Pune,Grade A,18.5204,73.8567,25.45,25.45,29.27,28000.0,28000.0,28000.0,28000.0,1100.0,1100.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Astha,Pune,Grade A,18.5204,73.8567,30.77,30.77,35.38,40000.0,40000.0,40000.0,40000.0,1300.0,1300.0,1,Low,4.0,3.0,Real Property Listings,2026-02-07
Autadwadi Handewadi,Pune,Grade B,18.5204,73.8567,24.03,24.03,27.63,18500.0,18500.0,18500.0,18500.0,770.0,770.0,2,Low,2.0,2.0,Real Property Listings,2026-02-07
Awhalwadi,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,6000.0,6000.0,6000.0,6000.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
B. T. Kawade Road,Pune,Grade B,18.5204,73.8567,24.32,24.32,27.96,24000.0,24000.0,24000.0,24000.0,987.0,987.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
B.T Kawade Road,Pune,Grade B,18.5204,73.8567,22.07,22.5,25.38,18333.33,18000.0,13000.0,24000.0,820.0,800.0,3,Low,1.7,1.7,Real Property Listings,2026-02-07
BEHIND HOTEL KINARA,Pune,Grade A,18.5204,73.8567,29.09,29.09,33.45,16000.0,16000.0,16000.0,16000.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Badhan Nagar,Pune,Grade B,18.5204,73.8567,17.39,17.39,20.0,16000.0,16000.0,16000.0,16000.0,920.0,920.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Baif road Wagholi,Pune,Grade C,18.5204,73.8567,14.17,14.17,16.29,8500.0,8500.0,8500.0,8500.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Balaji Nagar,Pune,Grade C,18.5204,73.8567,13.25,13.25,15.23,7750.0,7750.0,7500.0,8000.0,585.0,585.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Balajinagar,Pune,Grade B,18.5204,73.8567,22.03,22.03,25.34,13000.0,13000.0,13000.0,13000.0,590.0,590.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Baliraj Colony,Pune,Grade A,18.5204,73.8567,27.59,27.59,31.72,12000.0,12000.0,12000.0,12000.0,435.0,435.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bapdev Nagar,Pune,Grade B,18.5204,73.8567,15.71,15.71,18.07,11000.0,11000.0,11000.0,11000.0,700.0,700.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Barlota Nagar,Pune,Grade C,18.5204,73.8567,11.54,11.54,13.27,6000.0,6000.0,6000.0,6000.0,520.0,520.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bebadohal,Pune,Grade B,18.5204,73.8567,15.31,15.31,17.6,6000.0,6000.0,6000.0,6000.0,392.0,392.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Behind Kahdki Railway Station,Pune,Grade A,18.5204,73.8567,28.64,28.64,32.93,25000.0,25000.0,25000.0,25000.0,873.0,873.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Behind PCMC building,Pune,Grade A,18.5204,73.8567,25.45,25.45,29.27,14000.0,14000.0,14000.0,14000.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Behind suraydatta collage,Pune,Grade B,18.5204,73.8567,16.32,16.32,18.76,15500.0,15500.0,15500.0,15500.0,950.0,950.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bekrai Nagar,Pune,Grade C,18.5204,73.8567,10.0,10.0,11.5,4500.0,4500.0,4500.0,4500.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bellagio,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,18000.0,18000.0,18000.0,18000.0,900.0,900.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Benkar Nagar,Pune,Grade C,18.5204,73.8567,12.5,12.5,14.37,6000.0,6000.0,6000.0,6000.0,480.0,480.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bhageerath,Pune,Grade B,18.5204,73.8567,24.35,24.35,28.0,28000.0,28000.0,28000.0,28000.0,1150.0,1150.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bhagyodhya Nagar,Pune,Grade B,18.5204,73.8567,15.71,15.71,18.07,5500.0,5500.0,5500.0,5500.0,350.0,350.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
Bhairav Nagar,Pune,Grade B,18.5204,73.8567,19.64,19.64,22.58,7500.0,7500.0,5500.0,9500.0,400.0,400.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Bhandarkar Road,Pune,Grade A,18.5204,73.8567,31.59,31.59,36.33,42500.0,42500.0,35000.0,50000.0,1335.0,1335.0,2,Low,3.0,3.0,Real Property Listings,2026-02-07
Bharati Vidyapeeth,Pune,Grade B,18.5204,73.8567,16.31,16.31,18.76,15250.0,15250.0,12000.0,18500.0,925.0,925.0,2,Low,2.0,2.0,Real Property Listings,2026-02-07
Bhausaheb Kalate Nagar,Pune,Grade A,18.5204,73.8567,25.78,25.78,29.64,16000.0,16000.0,16000.0,16000.0,725.0,725.0,2,Low,1.5,1.5,Real Property Listings,2026-02-07
Bhawani Peth,Pune,Grade A,18.5204,73.8567,27.17,25.0,31.24,18333.33,18000.0,17000.0,20000.0,700.0,800.0,3,Low,1.7,1.3,Real Property Listings,2026-02-07
Bhekrai Nagar,Pune,Grade C,18.5204,73.8567,12.74,11.21,14.65,8307.69,7000.0,6000.0,17000.0,655.94,600.0,13,High,1.4,1.2,Real Property Listings,2026-02-07
Bhoir Colony,Pune,Grade B,18.5204,73.8567,17.54,17.54,20.18,10000.0,10000.0,10000.0,10000.0,570.0,570.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bhoirwadi,Pune,Grade B,18.5204,73.8567,18.0,18.0,20.7,11000.0,11000.0,11000.0,11000.0,611.0,611.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bhosale Nagar,Pune,Grade A,18.5204,73.8567,25.0,25.0,28.75,25000.0,25000.0,25000.0,25000.0,1000.0,1000.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bhosari,Pune,Grade C,18.5204,73.8567,13.44,13.52,15.45,9750.0,9250.0,8500.0,12000.0,726.75,706.5,4,Low,1.5,1.2,Real Property Listings,2026-02-07
Bhugaon,Pune,Grade B,18.5204,73.8567,16.11,15.86,18.53,11417.08,10750.0,5500.0,20000.0,745.75,674.5,12,High,1.6,1.6,Real Property Listings,2026-02-07
Bhujbal Vasti,Pune,Grade B,18.5204,73.8567,18.75,18.75,21.56,15000.0,15000.0,15000.0,15000.0,800.0,800.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bhukum,Pune,Grade B,18.5204,73.8567,18.67,20.0,21.47,11000.0,11000.0,10000.0,12000.0,600.0,555.0,3,Low,1.7,1.7,Real Property Listings,2026-02-07
Bhumkar Nagar,Pune,Grade B,18.5204,73.8567,19.0,19.1,21.84,16683.33,15050.0,12000.0,25000.0,880.0,835.0,6,Medium,1.8,1.8,Real Property Listings,2026-02-07
Bhunde Vasti,Pune,Grade B,18.5204,73.8567,23.67,23.67,27.23,25000.0,25000.0,25000.0,25000.0,1056.0,1056.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Bhusari Colony,Pune,Grade B,18.5204,73.8567,24.22,24.91,27.86,18771.43,17500.0,13000.0,30000.0,796.79,767.5,14,High,1.6,1.6,Real Property Listings,2026-02-07
Bhusari colony,Pune,Grade A,18.5204,73.8567,33.85,33.85,38.92,22000.0,22000.0,22000.0,22000.0,650.0,650.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bibwewadi,Pune,Grade B,18.5204,73.8567,22.33,21.67,25.68,13764.71,12500.0,8000.0,23000.0,615.18,600.0,17,High,1.3,1.3,Real Property Listings,2026-02-07
Bibwewadi Annex,Pune,Grade B,18.5204,73.8567,23.36,23.36,26.87,18000.0,18000.0,18000.0,18000.0,770.48,770.48,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bijali Nagar,Pune,Grade B,18.5204,73.8567,17.71,17.71,20.36,8500.0,8500.0,8500.0,8500.0,480.0,480.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Bijle Nagar,Pune,Grade B,18.5204,73.8567,18.84,18.84,21.67,13000.0,13000.0,13000.0,13000.0,690.0,690.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Bijlinagar,Pune,Grade B,18.5204,73.8567,23.08,23.08,26.54,6000.0,6000.0,6000.0,6000.0,260.0,260.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Boat Club Road,Pune,Grade B,18.5204,73.8567,24.14,24.14,27.76,35000.0,35000.0,35000.0,35000.0,1450.0,1450.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Bopkhel,Pune,Grade B,18.5204,73.8567,16.67,16.67,19.17,9000.0,9000.0,6000.0,12000.0,525.0,525.0,2,Low,1.5,1.5,Real Property Listings,2026-02-07
Bopodi,Pune,Grade A,18.5204,73.8567,25.0,25.0,28.75,17500.0,17500.0,17500.0,17500.0,700.0,700.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Borhade Wadi,Pune,Grade B,18.5204,73.8567,18.57,18.57,21.36,10750.0,10750.0,9000.0,12500.0,575.0,575.0,2,Low,1.5,2.0,Real Property Listings,2026-02-07
