place_id,name,latitude,longitude,address,types,rating,user_ratings_total,business_status
ChIJlR59WQrBwjsRkKEN302rEew,Shree Balaji Market,18.4894063,73.85875419999999,"Shop 1 Ground Floor, Ayodhya Sahkari Soc, Shivneri Path, Pune","supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment",4.4,16,OPERATIONAL
ChIJW76gcJK_wjsRh9MkHdkriwc,Shree Super Market & Oil Dippo,18.5082438,73.8296505,"GR5H+7VR, Warje Malwadi Road, Erandwane, Pune","supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment",3.5,2,OPERATIONAL
ChIJjckykKjqwjsRnzYm4ZTabJY,Sunil Super Market,18.4799279,73.8529602,"near Beelkanth Society, Shop No 1 Dhume Reshning Store, near Beelkanth Society, Street Number 1, Sahakar Nagar, Pune","supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment",4,6,OPERATIONAL
ChIJL9hjIXTAwjsRb1fyCXDq5Yc,Shree Ram Supermarket,18.511286,73.846065,"GR6W+GC8, Bhopatkar Road, Perugate, Sadashiv Peth, Pune","supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment",N/A,0,CLOSED_TEMPORARILY
ChIJ391UyhzAwjsR5fC7PkhViak,Fragranza,18.4890416,73.85391779999999,"Shop No.10, Samruddhi Enclave, Near Muktangan School, Taware Colony, Shiv Darshan Road, Sant Nagar, Parvati Paytha, Pune","clothing_store, store, point_of_interest, establishment",4.1,31,OPERATIONAL
ChIJN_wdTwTAwjsRpiP5Y-ur-7I,Manglam Sarees,18.4910575,73.84980800000001,"90/1, Sahakar Nagar 2, Padmavati Nagar, Pune","clothing_store, store, point_of_interest, establishment",5,3,OPERATIONAL
ChIJWXag-BrAwjsRjt6s1e-MKIc,EVEREST GARMENTS PVT.LTD.,18.4973722,73.8496444,"143/2, Baji Pasalkar Marg, Parvati, Parvati Paytha, Pune","clothing_store, store, point_of_interest, establishment",5,1,OPERATIONAL
ChIJN4D20Iq_wjsR3iDPkWB3LJs,Fabrikaa Pune Store,18.497809,73.849868,"near Shani Maruti Mandir Parvati, Shop Number 4, Amol Garden Building, near Shani Maruti Mandir Parvati, Pune","clothing_store, store, point_of_interest, establishment",4.7,27,OPERATIONAL
ChIJRWdryhzAwjsR0nmUxXsEwsg,Fragrance Designs,18.4896301,73.8499848,"Police Chowky, Hira Moti Complex F 2, opp. Laxminagar, Sahakar Nagar, Parvati Paytha, Pune","clothing_store, store, point_of_interest, establishment",4.8,196,OPERATIONAL
ChIJAWQVK73qwjsRNa8YtO7cEcI,SINCERA CREATIONS,18.4977527,73.85103389999999,"Shop No. 4, Taware Building, opposite Bank Of Maharashtra, Near, Nilayam Bridge, Parvati, Parvati Gaon, Parvati Paytha, Pune","clothing_store, store, point_of_interest, establishment",4.4,21,OPERATIONAL
ChIJK1Bbb3bAwjsR4r8yh-yrGMc,Goodwill Hosiery,18.5124251,73.84414269999999,"5/11, C/o Ingale Hospital Building, 462/2, Lal Bahadur Shastri Road, पंतांचा गोट, Pantancha Gate, Sadashiv Peth, Pune","clothing_store, store, point_of_interest, establishment",5,4,OPERATIONAL
ChIJR5B_zhHAwjsR9u-Mi-fhJKM,Shree Enterprises Cleaning Products,18.4982918,73.8545822,"basement, Patil Plaza, 21, opp. saras baug, near, Mitra Mandal Chowk, Parvati, Pune","clothing_store, store, point_of_interest, establishment",5,4,OPERATIONAL
