place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,income_sensitivity,visibility_score,shopping_district_score,parking_accessibility,fashion_market_opportunity
ChIJDY-XEq_AwjsRohZkfv0tXww,Ram Krishna Hosiery,18.5654364,73.84998089999999,3.5,121,70.0,0,10,High,75600,Low,1985,cell_1985,0.0015103552868612,18.564006682665436,73.85046781009004,34,0.0,21365.18280967816,0.0,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,3323.45456630686,92842,PMC_17,Vishrantwadi,PMC,2585.321589886509,1,0.0,1,555.1669287135805,45000.0,5000.0,57.69,Unknown,4893.151932223186,0.0006303359340926,0.6430177889824281,1.0,0.36231111868886,3.306042278446549,21365.18280967816,retail_fashion,1694.277108433735,21365.18280967816,34.0,0.6430177889824281,42.3471549256113
ChIJV1VPAK_AwjsRVYm_VmhJt-I,STYLE HUNT,18.5666273,73.85055899999999,4.4,36,88.0,1,10,Medium,95040,Low,1986,cell_1986,0.0016397405212047,18.56826450291265,73.85046781009004,64,0.0,51052.002478662165,0.0,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,3477.244652068678,52679,PCMC_25,Dapodi,PCMC,2325.043960179328,2,0.0,1,895.0294684267486,45000.0,5000.0,57.69,Unknown,5362.688426777863,0.0006303359340926,0.5276962794832942,2.0,1.1922725833193613,10.210756393688476,51052.002478662165,retail_fashion,1694.277108433735,102104.00495732433,128.0,0.5276962794832942,26.315158269529825
ChIJX6iqdK_AwjsRKASHcctZvjk,Joy 4 Kids,18.565305,73.850402,3.7,30,74.0,0,10,Medium,79920,Low,1985,cell_1985,0.0012999841803594,18.564006682665436,73.85046781009004,34,0.0,21365.18280967816,0.0,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,3323.45456630686,92842,PMC_17,Vishrantwadi,PMC,2585.321589886509,1,0.0,1,555.1669287135805,45000.0,5000.0,57.69,Unknown,4893.151932223186,0.0006303359340926,0.6430177889824281,1.0,0.36231111868886,3.306042278446549,21365.18280967816,retail_fashion,1694.277108433735,21365.18280967816,34.0,0.6430177889824281,42.3471549256113
ChIJe857m6_AwjsRWUWDwBnuhRA,City Shoes,18.564958,73.8513559,5.0,2,100.0,1,10,Low,45000,Low,1985,cell_1985,0.0013014255104419,18.564006682665436,73.85046781009004,34,0.0,21365.18280967816,0.0,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,3323.45456630686,92842,PMC_17,Vishrantwadi,PMC,2585.321589886509,1,0.0,1,555.1669287135805,45000.0,5000.0,57.69,Unknown,4893.151932223186,0.0006303359340926,0.6430177889824281,1.0,0.36231111868886,3.306042278446549,21365.18280967816,retail_fashion,1694.277108433735,21365.18280967816,34.0,0.6430177889824281,42.3471549256113
ChIJ3af8ha_AwjsRlzWeWD5MPlI,Prakash Stores,18.5643421,73.8514213,4.0,95,80.0,1,10,Medium,86400,Low,1985,cell_1985,0.0010107659455707,18.564006682665436,73.85046781009004,34,0.0,21365.18280967816,0.0,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,3323.45456630686,92842,PMC_17,Vishrantwadi,PMC,2585.321589886509,1,0.0,1,555.1669287135805,45000.0,5000.0,57.69,Unknown,4893.151932223186,0.0006303359340926,0.6430177889824281,1.0,0.36231111868886,3.306042278446549,21365.18280967816,retail_fashion,1694.277108433735,21365.18280967816,34.0,0.6430177889824281,42.3471549256113
ChIJT22VrrbAwjsRtdDC6_oP4GM,Bata Store,18.5639031,73.8523879,3.6,41,72.0,0,10,Medium,77760,Low,1985,cell_1985,0.0019228818556799,18.564006682665436,73.85046781009004,34,0.0,21365.18280967816,0.0,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,3323.45456630686,92842,PMC_17,Vishrantwadi,PMC,2585.321589886509,1,0.0,1,555.1669287135805,45000.0,5000.0,57.69,Unknown,4893.151932223186,0.0006303359340926,0.6430177889824281,1.0,0.36231111868886,3.306042278446549,21365.18280967816,retail_fashion,1694.277108433735,21365.18280967816,34.0,0.6430177889824281,42.3471549256113
ChIJ5aHdDaW4wjsR0VLHPWitx4A,Shree Enterprises,18.5866713,73.83269539999999,5.0,2,100.0,1,10,Low,108000,Low,1754,cell_1754,0.0013901675137065,18.58529472082849,73.83250150440765,5,0.0,28530.53172224866,0.0,26.29,PCMC,Grade B,Low,pimple Saudagar,3293.366196210813,52679,PCMC_25,Dapodi,PCMC,324.9074044349176,2,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,7653.580197095507,0.0006303359340926,1.0,2.0,0.0931462955718251,0.7977153432569122,28530.53172224866,retail_fashion,1648.9556614144376,57061.06344449732,10.0,1.0,52.774272056442676
ChIJA3CuoaW4wjsRAN7Ls45lzZM,"Unlimited Fashion Store - Dapodi, Pune",18.587108,73.8332561,4.3,8394,86.0,1,741,High,6882408,High,1754,cell_1754,0.00196402542291,18.58529472082849,73.83250150440765,5,0.0,28530.53172224866,0.0,26.29,PCMC,Grade B,Low,pimple Saudagar,3293.366196210813,52679,PCMC_25,Dapodi,PCMC,324.9074044349176,2,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,7653.580197095507,0.0006303359340926,1.0,2.0,0.0931462955718251,0.7977153432569122,28530.53172224866,retail_fashion,1648.9556614144376,57061.06344449732,10.0,1.0,52.774272056442676
ChIJpaqq6kq_wjsRB7TPuhMP_xk,Kirti Jewels,18.572998,73.8186655,4.0,21,80.0,1,10,Medium,576000,High,1574,cell_1574,0.0005974021380372,18.572522216873438,73.81902677514584,15,0.0,39902.78256039193,617.8175995109199,21.3,West Pune,Grade B,Low,Aundh Road,1711.0143009265023,59330,PCMC_16,Sangvi,PCMC,609.1795500600593,1,67.1699949754402,1,693.9794071092113,45000.0,5000.0,57.69,Unknown,7025.907905151317,0.0006303359340926,0.5903259483576058,0.9370578302503848,0.2486325211337643,2.163565556036348,24664.57440718588,retail_fashion,2017.9372197309417,37391.21484699375,14.055867453755772,0.5903259483576058,46.20254480286738
ChIJax6WcgC_wjsRwB8lL25N_ZE,Shinde Men’s Wear,18.5697845,73.841794,5.0,74,100.0,1,10,Medium,108000,Low,1868,cell_1868,0.0015511557250097,18.56826450291265,73.84148465724884,9,0.0,9477.97069640786,0.0,28.14,West Pune,Grade B,Medium,Aundh Gaon,3663.659262141897,52679,PCMC_25,Dapodi,PCMC,1547.0697525751996,1,546.150625243783,1,125.56493900064378,45000.0,5000.0,57.69,Unknown,5558.746328790499,0.0006303359340926,0.8884427413738303,0.6467675164845786,0.1676633320292851,1.435887617862442,9477.97069640786,retail_fashion,1544.2690459849005,6130.043568629324,5.820907648361207,0.8884427413738303,49.406364332551576
