place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category
ChIJ7dPf0VbAwjsRGbSnJyMX24A,Mind Gym Pune,18.5266362,73.8808547,5.0,1,100.0,1,10,Low,45000,Low,2389,cell_2389,0.0014221932918746,18.52568152099306,73.88190884503422,1,96.79668146884067,13025.126095721123,559.9972550746901,43.59,Central Pune,Grade A,High,Koregaon Park,1628.0810457361913,76984,PMC_23,Camp,PMC,1262.244196886572,1,397.7989150447281,1,191.1975510464981,45000.0,5000.0,57.69,Unknown,2721.992547986829,0.0006303359340926,0.8394913162149082,0.7154104851826996,0.0128231432088633,0.1149636714798123,8349.454496378266,services
ChIJgQAtTBfAwjsRZVMs8dOAIJE,The Urban Ashram,18.4964059,73.860146,4.4,11,88.0,1,10,Low,39600,Low,2087,cell_2087,0.000879408648458,18.49586712078362,73.85945096293122,10,0.0,33600.305559441054,0.0,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,1638.163872101947,76550,PMC_28,Parvati,PMC,626.9436090841514,2,0.0,1,79.84569263504818,45000.0,5000.0,57.69,Unknown,2743.3106081126416,0.0006303359340926,0.92605823852461,2.0,0.1289490651192779,1.1554015020219526,33600.305559441054,services
ChIJySw-ag_AwjsRZGrK0kVzLjw,Sahyadri Pratishtan,18.4957971,73.8493513,4.5,11,90.0,1,10,Low,40500,Low,1969,cell_1969,0.0011187035761566,18.49586712078362,73.85046781009004,15,0.0,38301.89645081778,114.68548396788538,35.2,Central Pune,Grade A,Medium,Sadashiv Peth,1514.677624567179,83867,PMC_34,Dattawadi,PMC,102.63900615088642,1,0.0,1,158.2553743047174,45000.0,5000.0,57.69,Unknown,2805.967161759532,0.0006303359340926,0.863367459529626,1.0,0.1767471455335996,1.5980056889002523,34361.16913846998,services
ChIJDRm0MXq_wjsRKebpiSL6ZP4,Divine diets by Dietician Namrata Pandya,18.5343468,73.8332697,4.8,12,96.0,1,10,Low,43200,Low,1742,cell_1742,0.0007822909704845,18.53419896666687,73.83250150440765,5,0.0,36424.09887408793,0.0,25.56,Central Pune,Grade B,Low,Shivajinagar,1355.945872625559,89957,PMC_7,Shivajinagar,PMC,1427.4296188040344,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,2977.14824194031,0.0006303359340926,1.0,1.0,0.0549710302670492,0.5002150924897706,36424.09887408793,services
ChIJ7SXg7o2_wjsRQw0XIx9mymU,Yogaway By Asmeeta | Yoga Classes | Yoga Studio | Yoga Therapy,18.5102444,73.8303239,5.0,13,100.0,1,10,Low,45000,Low,1736,cell_1736,0.0027016476187412,18.508645356879995,73.83250150440765,11,0.0,35650.23617720867,0.0,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,1082.637694132594,78493,PMC_35,Sadashiv Peth,PMC,1586.6720178644932,2,0.0,2,0.0,45000.0,5000.0,57.69,Unknown,2866.7881877978525,0.0006303359340926,2.0,2.0,0.1383769640094096,1.2430361723526155,35650.23617720867,services
ChIJnfG6XvnAwjsRin8Gr1D8224,ThinkThin,18.537521,73.881981,3.5,2,70.0,0,10,Low,31499,Low,2392,cell_2392,0.0009393058114668,18.538457530335,73.88190884503422,1,0.0,15132.752124958684,0.0,43.59,Central Pune,Grade A,High,Koregaon Park,1296.4437632276272,92232,PMC_16,Yerwada,PMC,940.9085977908366,1,196.4529365906492,1,0.7664315490983427,45000.0,5000.0,57.69,Unknown,3330.9916254826967,0.0006303359340926,0.9992341554183508,0.8358038744503805,0.0107259310108117,0.0978167305735973,15132.752124958684,services
ChIJQ_ZWkXa_wjsRO-lCXxJvfMg,4 Fitness Club,18.5308229,73.8252858,4.3,116,86.0,1,10,High,38700,Low,1623,cell_1623,0.0019755663071654,18.529940296879264,73.82351835156645,12,0.0,42512.2598966836,445.579125338051,34.5,Central Pune,Grade A,Low,Deccan Gymkhana,2247.018648057462,89957,PMC_7,Shivajinagar,PMC,2419.624892006628,1,294.43562522158027,1,145.111660271883,45000.0,5000.0,57.69,Unknown,3655.7510719319366,0.0006303359340926,0.8732772835118724,0.7725374522420309,0.1319304726409182,1.2005162219754495,29408.46277559662,services
ChIJcYsaW2C_wjsRze0H6f1y0do,Symbiosis Fitness Centre,18.5494473,73.8395733,4.4,90,88.0,1,10,Medium,39600,Low,1864,cell_1864,0.0026154401102618,18.55123258441366,73.84148465724884,1,0.0,38134.97700086159,380.2614085106836,25.56,Central Pune,Grade B,Low,Shivajinagar,2222.4532924615023,89957,PMC_7,Shivajinagar,PMC,2189.6499690924397,1,64.80066080018878,1,0.0,45000.0,5000.0,57.69,Unknown,3785.136607654201,0.0006303359340926,1.0,0.9391429183078346,0.0109942060534098,0.1000430184979541,27628.807677822148,services
ChIJEeO5DObAwjsReLqyV5xnqHU,S K Health Club,18.549567,73.878697,4.5,77,90.0,1,10,Medium,40500,Low,2336,cell_2336,0.0021004484902857,18.55123258441366,73.87741726861361,3,0.0,21273.636744547504,101.94141389961672,25.56,East Pune,Grade B,Low,Sharamik vasahat yerawada,305.0920507225269,92232,PMC_16,Yerwada,PMC,59.11758616240695,1,343.7412741277367,1,537.2182208551094,45000.0,5000.0,57.69,Unknown,4065.050679555719,0.0006303359340926,0.650525726558022,0.7441908790433861,0.0321777930324352,0.2934501917207919,19305.596900349792,services
ChIJMUYqz5e_wjsR8NJQb-NlQ8c,Dynamix Fitness,18.5127383,73.8194668,4.2,40,84.0,1,10,Medium,37800,Low,1560,cell_1560,0.0004703862734694,18.51290455695171,73.81902677514584,5,0.0,34525.77208064326,0.0,28.75,Central Pune,Grade A,Low,Kothrud pune,1085.7576987173068,97187,PMC_4,Kothrud,PMC,1085.7576987173068,2,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,4058.7057757526136,0.0006303359340926,1.0,2.0,0.0509232383105706,0.4664744791812439,34525.77208064326,services
