place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,mixed_use_score,repeat_customer_potential,convenience_score,premium_service_potential,services_market_opportunity
ChIJP38XppW_wjsRgJ4_FBQban8,Dr Rahalkar's Pregcare and Healthcare,18.5070842,73.82064629999999,5.0,12,100.0,1,10,Low,45000,Low,1559,cell_1559,0.002249460281303,18.508645356879995,73.81902677514584,15,0.0,34280.41875549171,0.0,28.31,Central Pune,Grade B,Low,left bhusari colony Kothrud,1010.8908415650948,97187,PMC_4,Kothrud,PMC,1010.8908415650948,2,0.0,3,0.0,45000.0,5000.0,57.69,Unknown,4181.774129601961,0.0006303359340926,3.0,2.0,0.1527697149317119,1.399423437543732,34280.41875549171,services,2.000239075782965,97.187,34283.41875549171,2596050.0,6074.1875
ChIJFVN5c7jqwjsRuHYJ90T9mUg,Art of Living's Yoga Class & Meditation Center,18.4609816,73.85530109999999,4.8,21,96.0,1,10,Medium,43200,Low,2020,cell_2020,0.0008750446862697,18.46178716507755,73.85495938651064,5,0.0,39325.57914050569,81.85569972111901,20.02,South Pune,Grade B,Medium,Dhankawadi,201.8888392969966,76903,PMC_30,Dhankawadi,PMC,432.2668553346212,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,6520.034157019471,0.0006303359340926,1.0,1.0,0.0641823806528631,0.5753541304673025,36350.11503904175,services,1.0001533499098334,76.903,36351.11503904175,2596050.0,12817.166666666666
ChIJtSm7XXq_wjsRbvmL8O2hHRA,Dimpex International (Yoga Props Exporters),18.5358137,73.8317502,5.0,2,100.0,1,10,Low,45000,Low,1742,cell_1742,0.0017809609906051,18.53419896666687,73.83250150440765,5,0.0,36424.09887408793,0.0,25.56,Central Pune,Grade B,Low,Shivajinagar,1355.945872625559,89957,PMC_7,Shivajinagar,PMC,1427.4296188040344,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,2977.14824194031,0.0006303359340926,1.0,1.0,0.0549710302670492,0.5002150924897706,36424.09887408793,services,1.0003357791213738,89.957,36425.09887408793,2596050.0,14992.833333333334
ChIJGWK2vci-wjsRSv8tvo3XJlU,Sky Fitness & Wellness,18.5581575,73.7758109,4.8,1822,96.0,1,179,High,773280,High,981,cell_981,0.0023284584943562,18.55974875615261,73.77411101093988,7,0.0,24968.01488360888,196.26806597356847,35.94,West Pune,Grade A,Low,Aundh-Baner link road,450.0870597790927,92640,PMC_2,Baner,PMC,1162.5318008540198,1,64.10029304306954,1,290.90277689974755,45000.0,5000.0,57.69,Unknown,9744.40918400024,0.0006303359340926,0.7746516762490943,0.9397610418283427,0.074754378470739,0.6819953234606392,20871.588562626184,services,1.000102612417921,92.64,20872.363214302433,2596050.0,11580.0
ChIJ-U8S1tm-wjsRSEzBUdNrXvo,Yoganjali,18.5588028,73.7910575,4.7,95,94.0,1,10,Medium,42300,Low,1217,cell_1217,0.0013909920868698,18.55974875615261,73.79207731662227,12,0.0,29023.55990525256,0.0,25.92,West Pune,Grade B,Low,Baner Pashan Link Road,1049.912940220907,92640,PMC_2,Baner,PMC,337.4681991459802,1,0.0,1,0.0,45000.0,5000.0,57.69,Unknown,8096.791175814294,0.0006303359340926,1.0,1.0,0.1281503630926954,1.1691348402182389,29023.55990525256,services,1.000123490465275,92.64,29024.55990525256,2596050.0,7126.153846153846
ChIJw_9NLdy_wjsRL_N6iLtpjw8,Zeus Fitness Zone,18.486586,73.8153497,4.0,148,80.0,1,12,High,43200,Low,1495,cell_1495,0.0011152135807005,18.487347767027387,73.81453519872525,9,0.0,33346.10204208189,0.0,27.84,Central Pune,Grade B,High,Karve Nagar,647.7695712540299,91381,PMC_5,Karve Nagar,PMC,649.5234909025456,2,0.0,1,633.2201598291753,45000.0,5000.0,57.69,Unknown,5768.486042857425,0.0006303359340926,0.6122873232868946,2.0,0.0974226301945205,0.8877403063690436,33346.10204208189,services,2.0001733256641185,91.381,33346.71432940518,2596050.0,9138.1
ChIJpcKgSNy_wjsRyz0IOWK7-AU,Tejaswini Health Club (Exclusively for WOMEN),18.4875703,73.8147212,4.1,244,82.0,1,20,High,73800,Low,1495,cell_1495,0.0002900299951833,18.487347767027387,73.81453519872525,9,0.0,33346.10204208189,0.0,27.84,Central Pune,Grade B,High,Karve Nagar,647.7695712540299,91381,PMC_5,Karve Nagar,PMC,649.5234909025456,2,0.0,1,633.2201598291753,45000.0,5000.0,57.69,Unknown,5768.486042857425,0.0006303359340926,0.6122873232868946,2.0,0.0974226301945205,0.8877403063690436,33346.10204208189,services,2.0001733256641185,91.381,33346.71432940518,2596050.0,9138.1
ChIJVzKcXbnqwjsRAuhZ3R36kEc,BRAWNS GYM,18.4657897,73.8577336,4.8,388,96.0,1,38,High,164160,Low,2080,cell_2080,0.0017366092573701,18.466047529934773,73.85945096293122,34,0.0,50872.34097025284,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,718.714789241011,76111,PMC_27,Bibwewadi,PMC,523.5632679993287,3,0.0,1,257.542009148409,45000.0,5000.0,57.69,Unknown,6050.677215010204,0.0006303359340926,0.7952020630127393,3.0,0.4409228255372125,3.948392191473795,50872.34097025284,services,3.000165243446481,76.111,50873.13617231585,2596050.0,2174.6
ChIJT00_Fky-wjsR1dWRGkujmpg,Siddhi Health Club,18.5079431,73.78932689999999,4.3,130,86.0,1,11,High,42570,Low,1146,cell_1146,0.0018774456500302,18.508645356879995,73.78758574020166,3,0.0,28413.46311192351,0.0,15.59,West Pune,Grade C,Low,old vitthal mandir bavdhan,1300.485226334423,92410,PMC_3,Bavdhan,PMC,371.80175495333975,1,0.0,1,405.2977897319943,45000.0,5000.0,57.69,Unknown,7403.683997016194,0.0006303359340926,0.7115929501253332,1.0,0.0321164757520608,0.2929401425642027,28413.46311192351,services,1.0001350496524095,92.41,28414.174704873636,2596050.0,23102.5
ChIJjX4yJuS-wjsRi_1j4efzMc0,Ananyanish Nirvana Acupressure & Spiritual healing center,18.54072,73.7867435,4.8,81,96.0,1,10,Medium,43200,Low,1154,cell_1154,0.0021664108810549,18.542715987862756,73.78758574020166,12,0.0,17273.461756638553,508.3618106882065,29.3,West Pune,Grade A,High,Pashan,769.746361017756,76498,PMC_40,Pashan,PMC,134.3610306694946,1,164.6695784330368,3,0.0,45000.0,5000.0,57.69,Unknown,7697.598831877308,0.0006303359340926,3.0,0.8586126215689556,0.1548427056182094,1.3873153136488707,11451.802633982988,services,1.000129893766624,76.498,11454.802633982988,2596050.0,5884.461538461538
