iter	Passed	Remaining
680	17735	3099
681	17753	3071
682	17769	3044
683	17787	3016
684	17804	2989
685	17818	2961
686	17832	2933
687	17845	2905
688	17861	2877
689	17876	2849
690	17893	2822
691	17909	2795
692	17928	2768
693	17945	2740
694	17958	2713
695	17972	2685
696	17987	2658
697	18003	2630
698	18018	2603
699	18036	2576
700	18052	2549
701	18068	2522
702	18084	2495
703	18105	2468
704	18120	2441
705	18137	2414
706	18154	2388
707	18171	2361
708	18187	2334
709	18203	2307
710	18225	2281
711	18240	2254
712	18253	2227
713	18269	2200
714	18283	2173
715	18300	2147
716	18317	2120
717	18330	2093
718	18349	2067
719	18363	2040
720	18377	2013
721	18394	1987
722	18410	1960
723	18426	1934
724	18442	1907
725	18458	1881
726	18473	1854
727	18490	1828
728	18507	1802
729	18524	1776
730	18542	1750
731	18555	1723
732	18570	1697
733	18586	1671
734	18601	1645
735	18619	1619
736	18637	1593
737	18654	1567
738	18672	1541
739	18688	1515
740	18706	1489
741	18723	1463
742	18740	1437
743	18761	1412
744	18782	1386
745	18799	1360
746	18816	1335
747	18834	1309
748	18851	1283
749	18868	1257
750	18891	1232
751	18907	1206
752	18922	1181
753	18937	1155
754	18957	1129
755	18976	1104
756	18990	1078
757	19007	1053
758	19023	1027
759	19039	1002
760	19060	976
761	19075	951
762	19094	925
763	19114	900
764	19128	875
765	19144	849
766	19161	824
767	19181	799
768	19202	774
769	19219	748
770	19234	723
771	19248	698
772	19265	672
773	19284	647
774	19304	622
775	19319	597
776	19334	572
777	19354	547
778	19373	522
779	19387	497
780	19404	472
781	19420	447
782	19434	421
783	19453	397
784	19468	372
785	19485	347
786	19501	322
787	19519	297
788	19531	272
789	19543	247
790	19559	222
791	19573	197
792	19586	172
793	19599	148
794	19609	123
795	19618	98
796	19626	73
797	19635	49
798	19643	24
799	19652	0
